Total number of H bonds in one file: 9
opt_cctbx/
0.3/    1.880    2.734    2.239   45.56
0.6/    1.775    3.213    2.364   31.11
0.9/    1.772    4.716    2.718   18.89
1.2/    1.790    5.552    3.282    8.89
1.5/    1.920    6.486    3.743    6.67
opt_qm/
0.3/    1.803    2.263    1.956   98.89
0.6/    1.805    3.199    2.010   87.78
0.9/    1.799    3.384    2.121   76.67
1.2/    1.831    4.898    2.421   60.00
1.5/    1.800    6.950    2.603   53.33
refine_cctbx/
0.3/    1.545    2.151    1.918   90.00
0.6/    1.532    2.786    2.179   54.44
0.9/    1.730    2.857    2.325   28.89
1.2/    1.712    5.309    2.407   27.78
1.5/    1.776    5.722    2.788   10.00
refine_qm/
0.3/    1.633    2.115    1.916   91.11
0.6/    1.630    2.517    2.070   76.67
0.9/    1.681    2.788    2.185   55.56
1.2/    1.724    3.044    2.173   59.26
1.5/    1.746    3.145    2.208   60.00
